"lang"
{
	"Language"		"English"
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_blast_slow"					"%MOVEMENT SLOW:"
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_blast_dot_damage"			"DAMAGE PER SECOND:"

        "DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_datadriven"				"Wraithfire Blast"
        "DOTA_Tooltip_modifier_skeleton_king_hellfire_blast_datadriven_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and taking damage over time"

		"DOTA_Tooltip_ability_faceless_void_backtrack"					"Backtrack"
		"DOTA_Tooltip_ability_faceless_void_backtrack_Description"					"Faceless Void dodges damage by jumping backward in time, eluding both physical and magical attacks."
		"DOTA_Tooltip_ability_faceless_void_backtrack_dodge_chance_pct"					"%CHANCE TO BACKTRACK:"

		"DOTA_Tooltip_ability_faceless_void_time_lock_datadriven"									"Time Lock"
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_Description"						"Adds the chance for an attack to lock nearby enemy units in time, stunning them and dealing bonus damage."
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_Lore"								"The strike of the Faceless Void lands with dimension shifting force."
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_Note0"							"Stun works on Spell Immune units."
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_Note1"							"Does not stack with Skull Basher."
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_Note2"							"Deals twice as much damage if the unit is in Chronosphere."
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_chance_pct"						"%CHANCE:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_duration"							"DURATION:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_bonus_damage"						"BONUS DAMAGE:"
        "DOTA_Tooltip_ability_faceless_void_time_lock_datadriven_radius"						"RADIUS:"

		"DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven"					"Chaos Bolt"
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_Description"		"Throws a mysterious bolt of energy at the target unit. It stuns for a random duration and deals random damage."
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_Lore"				"Even Chaos Knight cannot predict this manifest of unholy energy."
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_stun_min"			"MINIMUM STUN:"
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_stun_max"			"MAXIMUM STUN:"
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_damage_min"		"MINIMUM DAMAGE:"
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_damage_max"		"MAXIMUM DAMAGE:"
        "DOTA_Tooltip_ability_chaos_knight_chaos_bolt_datadriven_Note0"			"The stun duration and damage values dealt are inversely related."

		"DOTA_Tooltip_ability_lone_druid_synergy_datadriven"							"Synergy"
		"DOTA_Tooltip_ability_lone_druid_synergy_datadriven_Description"				"Increases the Lone Druid's synergy with his Spirit Bear and himself, upgrading attributes and abilities."
		"DOTA_Tooltip_ability_lone_druid_synergy_datadriven_bear_bonus_armor"			"SPIRIT BEAR ARMOR BONUS:"
		"DOTA_Tooltip_ability_lone_druid_synergy_datadriven_bear_bonus_damage"			"SPIRIT BEAR ATTACK DAMAGE BONUS:"
		"DOTA_Tooltip_ability_lone_druid_synergy_datadriven_bear_bonus_speed"			"SPIRIT BEAR SPEED BONUS:"
		
		"DOTA_Tooltip_ability_creature_zombie_berserk"							"BERSERK"
		"DOTA_Tooltip_ability_creature_fire_breath"							"Fire Breath"
		"DOTA_Tooltip_ability_techies_suicide_datadriven"							"Suicide"
		"DOTA_Tooltip_ability_lesser_nightcrawler_pounce"							"Pounce"
		
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven"					"Nether Turret"
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven_Description"					"Summon a ward that will continuously attack enemies. Wards last for 60 seconds."
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven_unit_limit"					"WARD LIMIT:"
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven_damage"					"WARD DAMAGE:"
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven_attack_speed"					"WARD ATTACK RATE:"
		"DOTA_Tooltip_ability_pugna_nether_ward_datadriven_aghanim_description"				"Nether Turrent will explode upon death, casting a Nether Blast of Pugna's current level."
		
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings2"							"Spawn Brood Warriors"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings2_Description"				"A nuke that adds a debuff to the target. When the target is killed three Brood Warriors will spawn."
		"DOTA_Tooltip_modifier_spawn_spiderlings_datadriven"                            "Spawn Spiderite"
        "DOTA_Tooltip_modifier_spawn_spiderlings_datadriven_Description"					"Applies debuff on attack. If debuffed unit dies, a spiderite will spawn."

		"DOTA_Tooltip_ability_creature_summon_undead3"							"Summon Zombies"
		"DOTA_Tooltip_ability_creature_summon_undead3_Description"				"Spawns powerful minions for you to control. You cannot have more than 5 zombies alive at once. This ability also grants bonus damage and armor to all units under Undying's control."
		"DOTA_Tooltip_ability_creature_summon_undead3_duration"				"DURATION:"
		"DOTA_Tooltip_ability_creature_summon_undead3_number_of_zombies"				"NUMBER OF ZOMBIES SPAWNED:"
		"DOTA_Tooltip_ability_creature_summon_undead3_bonus_damage"				"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_creature_summon_undead3_bonus_armor"				"BONUS ARMOR:"

		"DOTA_Tooltip_modifier_creature_summon_undead3_aura_buff"						"Undying Control"

		"DOTA_Tooltip_ability_warlock_command_aura"							"Burning Flesh"
		"DOTA_Tooltip_ability_warlock_command_aura_Description"				"Grants additional armor and damage to all units under Warlock's control."	
		"DOTA_Tooltip_modifier_feral_impulse_datadriven"										"Aura"
		"DOTA_Tooltip_modifier_warlock_command_aura"										"Aura"
		"DOTA_Tooltip_ability_warlock_command_aura_bonus_damage"				"BONUS DAMAGE:"	
		"DOTA_Tooltip_ability_warlock_command_aura_bonus_armor"				"BONUS ARMOR:"	
		
		"DOTA_Tooltip_ability_creature_acid_spray"							"Death Explosion"
		
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven"  						"Poison Attack"
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_Description"  			"Intensifies Viper's venom, adding an effect to his normal attack that slows attack and movement speed while dealing damage over time.\n\nPoison Attack splashes to nearby targets and applies damage from Nethertoxin."
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_radius"			"RADIUS"
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_damage"				"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_duration"				"POISON DURATION:"
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_bonus_movement_speed"	"MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_viper_poison_attack_datadriven_bonus_attack_speed"	"ATTACK SPEED SLOW:"

		"DOTA_Tooltip_modifier_viper_poison_attack_debuff_datadriven"           "Poison Attack"
        "DOTA_Tooltip_modifier_viper_poison_attack_debuff_datadriven_Description"			"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_viper_strike_lua"   						"Viper Strike"
		"DOTA_Tooltip_ability_viper_strike_lua_Description"				"Viper slows enemies movement and attack speed while also dealing poison damage over time. The slowing effect reduces over the duration of the poison."
		"DOTA_Tooltip_ability_viper_strike_lua_duration"								"DURATION:"
		"DOTA_Tooltip_ability_viper_strike_lua_damage"					"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_viper_strike_lua_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_viper_strike_lua_bonus_movement_speed"	"MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_viper_strike_lua_bonus_attack_speed"		"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_viper_strike_lua_cast_range_scepter"					"SCEPTER CAST RANGE:"
        "DOTA_Tooltip_ability_viper_strike_lua_mana_cost_scepter"						"SCEPTER MANA COST:"
        "DOTA_Tooltip_ability_viper_strike_lua_cooldown_scepter"						"SCEPTER COOLDOWN:"
		"DOTA_Tooltip_ability_viper_strike_lua_aghanim_description"					"Decreases mana cost and cooldown, and increases cast range."
		
		"DOTA_Tooltip_ability_spooki_hp_aura"                    "Spooky HP Aura"
		"DOTA_Tooltip_ability_spooki_hp_aura_Description"        "Grants all mobs on the map a huge health bonus while this creature remains alive"

		"DOTA_Tooltip_ability_lich_dark_ritual_Description"      "Consumes an enemy unit and converts its current hit points into mana for Lich. Grants XP to both enemies and allies."

		"DOTA_Tooltip_ability_rubick_spell_steal"									"Friendly Spell Steal"
		"DOTA_Tooltip_ability_rubick_spell_steal_Description"									"Rubick may borrow abilities from his allies for his own use in combat."
		
		"DOTA_Tooltip_ability_lina_laguna_blade_datadriven"									"Laguna Storm"
		"DOTA_Tooltip_ability_lina_laguna_blade_datadriven_Description"						"Fires off a bolt of lightning at a group of enemy units, dealing massive damage."
		"DOTA_Tooltip_ability_lina_laguna_blade_datadriven_damage"								"DAMAGE:"
		"DOTA_Tooltip_ability_lina_laguna_blade_datadriven_radius"							"RADIUS:"

		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven"									"Spawn Spiderlings"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_Description"						"Broodmother injects her young into an enemy unit, dealing damage. The spiderlings will hatch if the target is killed while under this influence."
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_damage"								"DAMAGE:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_count"							"SPIDERLING COUNT:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_buff_duration"							"DEBUFF DURATION:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_bonus_damage"								"SPIDERLING BONUS DAMAGE:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_bonus_armor"								"SPIDERLING BONUS ARMOR:"
		"DOTA_Tooltip_ability_broodmother_spawn_spiderlings_datadriven_bonus_health"								"SPIDERLING BONUS HIT POINTS:"

		"DOTA_Tooltip_ability_horde_slardar_sprint"									"Slither"
		"DOTA_Tooltip_ability_horde_slardar_sprint_Description"						"<font color='#70EA72'>Slardar temporarily gains attack and movement speed</font>"
		"DOTA_Tooltip_ability_horde_slardar_sprint_bonus_speed"								"BONUS SPEED:"
		"DOTA_Tooltip_ability_horde_slardar_sprint_bonus_attack_speed"							"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_horde_slardar_sprint_duration"							"DURATION:"

        "DOTA_Tooltip_ability_horde_shadow_shaman_shackles"									"Shackles"
		"DOTA_Tooltip_ability_horde_shadow_shaman_shackles_Description"						"Magically binds a group of enemy units so that they cannot move or attack, while dealing damage over time."
		"DOTA_Tooltip_ability_horde_shadow_shaman_shackles_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_horde_shadow_shaman_shackles_channel_time"							"DURATION:"

		"DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven"										"Hex"
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_Description"							"Transforms enemy units into harmless creatures, disabling their attacks and abilities."
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_Lore"								"Rhasta often ended performances by turning himself into a chicken - now, the humiliation is shared."
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_Note0"								"Instantly destroys illusions."
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_Note1"								"The target will have a base movement speed of 100, but buffs granting maximum movement speed won't be disabled."
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_Note2"								"Hex disables damage block."
        "DOTA_Tooltip_ability_shadow_shaman_voodoo_datadriven_duration"							"DURATION:"

        "DOTA_Tooltip_ability_lion_voodoo_datadriven"												"Hex"
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_Description"									"Transforms enemy units into harmless beasts, with all special abilities disabled."
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_Lore"											"Lion is compelled to share his transfiguration, twisting the essence of those who oppose him."
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_Note0"										"Instantly destroys illusions."
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_Note1"										"The target will have a base movement speed of 100, but buffs granting maximum movement speed won't be disabled."
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_Note2"										"Hex disables damage block."
        "DOTA_Tooltip_ability_lion_voodoo_datadriven_duration"										"DURATION:"
	    
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven"									"Death Ward"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_Description"						"CHANNELED - Summons a deadly ward to attack enemy heroes within 700 range. Lasts a maximum of 8 seconds.\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_Lore"								"Witch Doctor performs a ritualistic dance, one that haunts the dreams of those who live to recount it."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_Note0"								"The Death Ward is invulnerable, and is only destroyed if Witch Doctor is interrupted or its duration expires."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_Note1"								"The Death Ward can be controlled, and made to attack a specific target."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_Note2"							"Death Ward attacks once every 0.22 seconds."
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_damage"							"DAMAGE:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_bounces"							"BOUNCES:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_bounces_scepter"					"SCEPTER BOUNCES:"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_datadriven_aghanim_description"				"Death Ward attacks bounce between nearby enemies."

		"DOTA_Tooltip_ability_witch_doctor_death_ward_bounce"                                       "Death Ward Ricochet"
		"DOTA_Tooltip_ability_witch_doctor_death_ward_bounce_bounces"					"BOUNCES:"

		"DOTA_Tooltip_ability_lycan_summon_wolves_datadriven"									"Summon Wolves"
		"DOTA_Tooltip_ability_lycan_summon_wolves_datadriven_Description"						"Summons two wolves to fight for Lycan. Level 2-4 wolves have Cripple, level 3-4 wolves have permanent invisibility, and level 4 wolves have 15 HP regen."
		"DOTA_Tooltip_ability_lycan_summon_wolves_wolf_duration"								"WOLF DURATION:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_datadriven_wolf_damage"								"WOLF DAMAGE:"
		"DOTA_Tooltip_ability_lycan_summon_wolves_datadriven_wolf_hp"								"WOLF HP:"

		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_datadriven"									"Summon Boar"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_datadriven_Description"						"Summon Boars to fight for you. The Boar's attacks slow their targets."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_datadriven_duration"								"BOAR DURATION:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_datadriven_boar_damage_tooltip"								"BOAR DAMAGE:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_datadriven_boar_hp_tooltip"								"BOAR HP:"

		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_datadriven"									"Summon Hawk"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_datadriven_Description"						"Summon a hawk to fight for you - Hawks are fragile but deal high damage at long range. Hawks can use chain lightening to deal damage to enemies."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_datadriven_duration"								"HAWK DURATION:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_datadriven_damage"								"HAWK DAMAGE:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_datadriven_hp"								"HAWK HP:"
		
		"DOTA_Tooltip_ability_holdout_culling_blade"										"A Cut Above"
		"DOTA_Tooltip_ability_holdout_culling_blade_Description"							"<font color='#70EA72'>Axe leaps forward into combat. Upon landing, Axe delivers a strike to all enemies in a small area around his position.</font>  If an enemy is below the kill threshold, the enemy dies and Axe grants himself and nearby allies a temporary speed bonus."
		"DOTA_Tooltip_ability_holdout_culling_blade_Lore"									"Mogul Khan is the embodiment of battle and fury, launching into a gruesome fatality against those who dare engage the Axe in combat."
		"DOTA_Tooltip_ability_holdout_culling_blade_Note0"									"The killing blow goes through magic immunity."
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_distance"							"<font color='#70EA72'>LEAP DISTANCE:</font>"
		"DOTA_Tooltip_ability_holdout_culling_blade_radius"									"<font color='#70EA72'>RADIUS:</font>"
		"DOTA_Tooltip_ability_holdout_culling_blade_kill_threshold"							"KILL THRESHOLD:"
		"DOTA_Tooltip_ability_holdout_culling_blade_kill_threshold_scepter"					"SCEPTER KILL THRESHOLD:"
		"DOTA_Tooltip_ability_holdout_culling_blade_damage"									"DAMAGE:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_bonus"							"%SPEED BONUS:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_aoe"								"SPEED RADIUS:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_duration"							"SPEED DURATION:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_duration_scepter"					"SCEPTER SPEED DURATION:"
		"DOTA_Tooltip_ability_holdout_culling_blade_aghanim_description"					"Increases kill threshold and speed duration."

		"DOTA_Tooltip_ability_holdout_gladiators_unite"							"Gladiators, Unite!"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_Description"				"<font color='#70EA72'>Legion Commander calls her allied heroes together to fight in an arena.  Each additional friendly hero that joins the fight in the arena grants additional bonus damage, armor, and lifesteal to each arena combatant.</font>"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_armor_per_hero"	"BONUS ARMOR PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_damage_per_hero"	"BONUS DAMAGE PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_lifesteal_per_hero"		"%LIFESTEAL PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_duration"				"DURATION:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_radius"					"RADIUS:"
		"DOTA_Tooltip_modifier_holdout_gladiators_unite"						"Gladiators, Unite!"
		"DOTA_Tooltip_modifier_holdout_gladiators_unite_Description"			"Gaining %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonus armor, %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, and %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal on physical attacks."

		"DOTA_Tooltip_ability_holdout_friendly_skewer"							"Grief"
		"DOTA_Tooltip_ability_holdout_friendly_skewer_Description"				"<font color='#70EA72'>Because making a legitimate ability would be hard work, this version of skewer can be used for is designed for maximum memes</font>"
